,ID,volume (voxel counting),Sphericity,Surface area (mesh),Skewness,Minimum Intensity,Mean,Maximum Intensity,Kurtosis,Correlat,Contrast,AngScMom,Entropy,GLCM difference average,InvDfMom,NGTDM coarseness,NGTDM contrast,NGTDM busyness,ShrtREmp,LngREmph,GLRLM Low Gray Level Run Emphasis,GLRLM High Gray Level Run Emphasis,GLRLM Short Run Low Gray Level Emphasis,GLRLM Short Run High Gray Level Emphasis,GLRLM Long Run Low Gray Level Emphasis,GLRLM Long Run High Gray Level Emphasis,GlevNonU,RLNonUni,GLRLM Run Percentage
0,R01-013,0,0,0,-2.101205,0,1016.9736,0,5.1169973,0.895186386,0.84950371,0.81230092,0.98021946,0,0.909956244,0,0,0,95.125441,44.32432,0,0,0,0,0,0,4.30703575,0.700961815,0
0,R01-014,0,0,0,0.74987184,0,33136.495,0,1.4528677,0.4,0.4,0.4,0.4,0,0.4,0,0,0,4.8368421,19.5,0,0,0,0,0,0,301.88816,0.00434500435,0
0,R01-015,0,0,0,-2.8648468,0,33822.211,0,11.602924,0.44943823,0.468987368,0.504168908,0.438330602,0,0.474469774,0,0,0,56.345106,156.085895,0,0,0,0,0,0,132.26902,0.40758543,0
0,R01-016,0,0,0,-1.2952571,0,33716.934,0,0.84148599,0.503621822,0.514305266,0.521793462,0.480204372,0,0.48584231,0,0,0,6.84444445,25.0444445,0,0,0,0,0,0,23.066667,0.26741172,0
0,R01-017,0,0,0,0.73740496,0,33168.704,0,0.057361265,0.4,0.4,0.4,0.4,0,0.4,0,0,0,3.05,15,0,0,0,0,0,0,134.575,0.0209587595,0
0,R01-018,0,0,0,-0.25969935,0,33469.197,0,-1.3573628,0.533815108,0.5514254872,0.5521212218,0.5317042534,0,0.540915634,0,0,0,6.42718335,53.4943895,0,0,0,0,0,0,200.065815,0.16944155,0
0,R01-019,0,0,0,0.68212224,0,33259.428,0,-0.38354648,0.4,0.4,0.4,0.4,0,0.4,0,0,0,4.89478115,49,0,0,0,0,0,0,148.89983,0.027815654,0
0,R01-020,0,0,0,0.068453507,0,33656.806,0,-0.85301748,0.487260414,0.474072988,0.5388671482,0.502491844,0,0.470577148,0,0,0,4.40860215,15.001792,0,0,0,0,0,0,27.6827955,0.21843963,0
0,R01-021,0,0,0,-0.091123955,0,654.65039,0,-1.6815617,1.70936977,1.3811394674,1.2595991364,2.401315388,0,1.925914209,0,0,0,210.688785,32.0035415,0,0,0,0,0,0,3.8514432,0.748999855,0
0,R01-022,0,0,0,1.1240897,0,33219.221,0,0.84994421,0.4018182206,0.4522307312,0.452220962,0.4018221658,0,0.4522503734,0,0,0,2.3306288,26.075051,0,0,0,0,0,0,263.766225,0.1139667715,0
0,R01-023,0,0,0,1.9652338,0,33169.835,0,4.4175141,0.5459365244,0.5331960626,0.5331362114,0.4808017682,0,0.4834133192,0,0,0,4.1645022,62.0703465,0,0,0,0,0,0,598.11472,0.087452486,0
0,R01-024,0,0,0,0.36880857,0,33232.532,0,-1.1664382,0.5304215692,0.5397552092,0.5572729466,0.5301420696,0,0.5350510674,0,0,0,3.5346216,32.890499,0,0,0,0,0,0,164.495975,0.110736197,0
0,R01-025,0,0,0,0.27811431,0,33348.013,0,-1.496848,0.5352197632,0.5517731608,0.540164936,0.512760696,0,0.537564323,0,0,0,15.5212035,119.822375,0,0,0,0,0,0,254.486885,0.21361754,0
0,R01-026,0,0,0,-1.1537001,0,33662.573,0,0.23979177,0.520273784,0.524879482,0.533868268,0.502974056,0,0.509680514,0,0,0,9.3501605,39.5572915,0,0,0,0,0,0,43.263822,0.18759328,0
0,R01-027,0,0,0,-2.441626,0,33816.491,0,13.478103,0.4035993412,0.4083828828,0.451934554,0.4145862573,0,0.4284373604,0,0,0,145.042065,250.755485,0,0,0,0,0,0,12.26582405,0.53120832,0
0,R01-028,0,0,0,-2.2930416,0,33732.417,0,4.7450525,0.443286584,0.461256084,0.484398416,0.445319562,0,0.449798892,0,0,0,79.86661,184.26755,0,0,0,0,0,0,16.559374,0.444037405,0
0,R01-029,0,0,0,-0.2952729,0,33438.193,0,-1.4766857,0.464069722,0.48732982,0.470843776,0.438243558,0,0.46786917,0,0,0,78.544475,198.093065,0,0,0,0,0,0,34.878861,0.43443653,0
0,R01-030,0,0,0,-0.70455767,0,33586.275,0,-0.65847132,0.458677524,0.476514242,0.501223522,0.473292474,0,0.466253896,0,0,0,26.812366,70.766398,0,0,0,0,0,0,18.444086,0.41351645,0
